the_geom,web,nom,adreca,contacte1,contacte2,cartodb_id,correu,lat,lng,categoria,cel1,cel2
0101000020E61000005E11FC6F253BE63F6326512FF85C4440,,Delta de l’Ebre,"C/ Pintor Sorolla, 52",977480016,,30,,40.726324,0.69472,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E61000004BCB48BDA7F2EA3F16A1D80A9A5C4440,,Tasca Marinera,C/flamenc 4,669521092,,31,comptabilitat@oleamar.com,40.723451,0.842121,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,Cuinen a part però no tenen pa ni pastes
0101000020E610000038A3E6ABE4E3EA3FBCB1A030285D4440,,Lo Raconet de Fermin,"Passeig Marítim, 56",977990548,642027466,32,,40.727789,0.840319,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E6100000EE06D15AD166E63F1B2AC6F99B5C4440,www.bar9deltebre.com,BAR 9 PIZZERIA,"Av. Germans Carsi, 36",977489850,,33,bar9deltebre@gmail.com,40.72351,0.700051,TAPERIA I BOCATES,,
0101000020E6100000CB2C42B11534E73FE4BCFF8F135C4440,,Criscar,"Plaça 20 de maig, 11",977489664,,34,cristinacriscar@hotmail.com,40.719347,0.725108,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E61000000971E5EC9DD1E53FFDF9B660A95C4440,,Bar lo Mirador,"C/ Reïs Catòlics, 44",650958159,,35,panimirador@hotmail.com,40.723919,0.681838,TAPERIA I BOCATES,,
0101000020E6100000C5CBD3B9A294E73F5FEB5223F45B4440,www.facebook.com/tascatres.cantons,Tasca Tres Cantons,"C/ Estació, 23",977480891,699566744,36,apaulinoroig@gmail.com,40.718388,0.736894,(cel) TAPERIA I BOCATES,MENÚ PER CELÍACS,Cuinen a part però no tenen pa ni pastes
0101000020E6100000A4DFBE0E9C33E73FA053909F8D5C4440,,Pizzeria del Txato,"Goles de l'Ebre, 11",609025746,,37,lobardeltxato@gmail.com,40.723072,0.72505,TAPERIA I BOCATES,,
0101000020E61000000F46EC1340B1EA3FA7B05241455B4440,www.restaurantnuri.com,Pas de Buda,Embarcador Illa de Buda,977480128,977267672,38,restaurantnuri@live.com,40.713051,0.834137,TAPERIA I BOCATES,,
0101000020E6100000F1811DFF0582E73F753C66A0325C4440,,Salitre,"Av. Esportiva, 64",622151435,,39,,40.720295,0.734622,TAPERIA I BOCATES,,
0101000020E6100000261E5036E58AE73FE9465854C45B4440,,Restaurant Xinès Oriental,"C/ Sebastià Joan Arbó, 4",977482279,,40,,40.716929,0.735705,(cel) CUINES DEL MÓN,MENÚ PER CELÍACS,No tenen pa
0101000020E61000003FADA23F34F3EA3FDCD6169E975C4440,,Plan B,"C/ Flamenc, 7",977267239,628097216,41,,40.723377,0.842188,(cel) CUINES DEL MÓN,MENÚ PER CELÍACS,
0101000020E61000003CBEBD6BD097E73F8194D8B5BD5B4440,,Royal Restaurant Pizzeria,"Av. Goles de l'Ebre, 212",977482676,,42,asadgondal347@gmail.com,40.716727,0.737282,CUINES DEL MÓN,,
0101000020E61000009162804413A8E73F08AD872F135B4440,,La Dolce Vita,"C/ Trinquet, 89",977482578,682873469,43,,40.711523,0.739267,CUINES DEL MÓN,,
0101000020E6100000DF35E84B6F7FE73F25E659492B5C4440,www.suchimc.net,Sushi Mc,"Av. Esportiva, 59",626830723,,44,info@sushimc.net,40.720071,0.734306,(cel) CUINES DEL MÓN,MENÚ PER CELÍACS,
0101000020E6100000F1811DFF0502E73FF0C34142945B4440,,La Risaia,"C/Jaume I el Conqueridor, 94",631945909,622147806,45,enzorocco19596@gmail.com,40.715462,0.718997,CUINES DEL MÓN,,
0101000020E6100000B64DF1B8A896EA3FFD4D2844C05D4440,,Terrassa Glops,Passeig Marítim,619830793,,46,glopsriumar@gmail.com,40.73243,0.830891,XIRINGUITOS,,
0101000020E6100000882CD2C43BC0EA3F65E42CEC695D4440,,Xiringuito la Cantina,Passeig Marítim,609317186,,47,cantina.riumar@gmail.com,40.729795,0.835966,XIRINGUITOS,,
0101000020E6100000D787F546ADB0EA3FEB1D6E87865D4440,,Xiringuito Darwing Beach,Passeig Marítim,616515071,639157333,48,,40.730668,0.834067,(cel) XIRINGUITOS,MENÚ PER CELÍACS,
0101000020E61000008FE1B19FC5D2EA3F57772CB6495D4440,,Xiringuito les Dunes,Passeig Marítim,660954248,,49,,40.728812,0.838229,XIRINGUITOS,,
0101000020E6100000B63176C24BF0EA3FB16B7BBB255D4440,,Xiringuito New Ja,Passeig Marítim,695723246,,50,,40.727714,0.841833,XIRINGUITOS,,
0101000020E6100000FB03E5B67D8FE73FBF64E3C1165B4440,,Xiringuito Lo Rem,"Passeig Reinosa, s/n.",670235888,,51,aliciapg3@hotmail.com,40.711632,0.736266,XIRINGUITOS,,
0101000020E6100000EEEE01BA2F67E63F124DA088455C4440,,Xiringuito Parc del Riu,Parc del Riu,699831378,,52,lara.fabra@gmail.com,40.720872,0.700096,XIRINGUITOS,,
0101000020E6100000723106D671FCEA3F55D97745F05B4440,,Xiringuito del Port,Port de Riumar,669521092,,53,,40.71827,0.843316,(cel) XIRINGUITOS,MENÚ PER CELÍACS,Cuinen a part però no tenen pa ni pastes
0101000020E6100000AAF23D23119AE73F9CDCEF50145C4440,http://www.locarriletxxi.com/la-carta,Lo Carrilet XXI,"C/ Mestre Carlos Itarte, 61",977480103,,54,locarrilet@hotmail.es,40.71937,0.737557,(cel) TAPERIA I BOCATES,MENÚ PER CELÍACS,
0101000020E6100000B05758703FE0E63FE0BDA3C6845C4440,,Frankfurt Lo Furo,"Av. De La Pau, 193",977487064,,55,,40.722802,0.714874,TAPERIA I BOCATES,,
